player_id,signup_date,total_deposits,total_wagered,win_loss_ratio,days_since_last_bet,preferred_sport,avg_odds,churn_label,marketing_group,wager_deposit_ratio,is_high_risk
1000,2024-06-05,4611.16,6118.137999999999,0.8943051979615793,14,Cricket,7.08,0,Control,1.326523364323874,0
1001,2025-07-15,3151.22,3170.3775,0.8064984276877898,8,Football,1.3,0,Control,1.0057602261263492,0
1002,2025-11-29,4980.26,5831.299249999999,0.976949072513687,14,Tennis,4.31,1,Control,1.1706474365923478,0
1003,2025-08-31,599.36,832.9237249999999,0.6592790903119097,14,Tennis,3.34,0,Control,1.3873737840628955,0
1004,2025-08-25,190.72,343.31243681249987,0.9861180755903098,13,Football,5.38,0,Test,1.5571278622470266,0
1005,2024-10-22,1803.57,3171.085628240625,0.5287390415589287,23,Cricket,4.27,0,Test,1.5280458855502974,0
1006,2025-03-12,1542.97,3048.0509090812498,0.4189499335463589,21,Tennis,7.3,0,Test,1.716664864845172,0
1007,2025-02-16,2477.48,5523.265279805312,0.937242613563184,5,Greyhounds,3.49,0,Test,1.9378164737031365,0
1008,2025-06-05,1164.92,2947.949684573748,0.612793063553525,4,Cricket,4.44,0,Test,2.1986367060561602,0
1009,2025-01-29,3595.58,6106.661443396873,0.8347411144928526,13,Football,3.6,0,Test,1.4764416155243314,0
1010,2025-01-18,4785.67,5487.7885,0.9129547055114212,3,Greyhounds,1.69,0,Control,1.1464731222332016,0
1011,2024-10-18,4369.78,5394.437824999999,0.8620795911009074,1,Greyhounds,6.09,0,Control,1.234204838724438,0
1012,2025-10-12,4410.18,5327.810274999999,0.6225917585226166,11,Tennis,5.83,0,Control,1.2077970690382163,0
1013,2025-06-18,186.65,360.6986957915625,0.7179869770115217,4,Football,6.23,0,Test,1.6714683710031975,0
1014,2025-01-07,3163.46,6186.112675812499,0.7964134382105873,12,Cricket,7.31,0,Test,1.699888263321388,0
1015,2024-03-27,347.49,655.8598536874999,0.5189853299597182,56,Greyhounds,3.1,0,Test,1.6365259153777725,1
1016,2024-03-30,3826.17,9192.20410073705,0.6930057626090111,4,Cricket,1.86,0,Test,2.0885460946763934,0
1017,2024-02-07,2782.97,2854.6795,0.6299214680817259,12,Cricket,7.14,0,Control,1.025398800992827,0
1018,2024-12-24,2961.13,3006.18,0.4605216798737571,43,Greyhounds,9.53,1,Control,1.0148710556255127,1
1019,2024-05-28,3544.88,7249.494483762498,0.4426208417169431,27,Football,2.12,0,Test,1.777812065481629,0
1020,2025-10-14,2738.99,7595.39763608281,0.9273679796758632,10,Horse Racing,4.78,0,Test,2.4104809129207583,0
1021,2024-10-09,2948.87,4028.480475,1.093844540875737,1,Horse Racing,6.63,0,Control,1.3656467827395784,0
1022,2025-02-03,4172.72,4679.281,0.8820643874836983,13,Horse Racing,6.5,0,Control,1.1211295918269553,0
1023,2024-02-08,3751.16,4234.023424999999,0.7496547559910498,8,Horse Racing,9.27,0,Control,1.1284229417189031,0
1024,2024-03-29,1742.07,3028.9989839999994,0.9158398306224728,7,Football,1.88,0,Test,1.5110765258997056,0
1025,2025-06-22,712.73,1097.5162999999998,0.5874994544671952,39,Greyhounds,9.01,0,Control,1.537719165510767,1
1026,2025-07-07,3815.47,5639.100324999999,0.8835548202888217,4,Tennis,1.41,0,Control,1.4775696717123414,0
1027,2025-07-09,1009.18,1282.0544999999995,0.7020551273499873,12,Greyhounds,4.62,0,Control,1.2691347086657818,0
1028,2024-04-18,4597.93,9417.838099746872,0.5210269658324906,48,Cricket,4.6,0,Test,1.7807238715445761,1
1029,2025-08-22,288.17,319.976,1.0236867575901152,10,Cricket,7.67,0,Control,1.1065324895390254,0
1030,2025-01-11,4020.48,10499.746125224532,0.6232342746175613,11,Greyhounds,7.34,0,Test,2.270361663351397,0
1031,2024-01-28,4490.23,11487.816292476558,1.083439748075174,13,Tennis,5.87,0,Test,2.2242026063503197,0
1032,2024-11-23,704.14,2133.655146521593,0.8665831941397911,4,Cricket,7.24,0,Test,2.6311828875444943,0
1033,2024-01-27,3754.45,5126.3274,1.0991093030863657,4,Tennis,6.06,0,Control,1.3650367865368997,0
1034,2024-01-21,66.03,108.5328338375,0.4331151588609684,48,Football,7.3,0,Test,1.4079722102043861,1
1035,2024-05-04,4063.91,10690.712422034525,0.6604619182511801,13,Football,8.86,0,Test,2.2869563339248278,0
1036,2024-09-30,4506.59,5536.422,0.8711330585808177,4,Greyhounds,9.82,0,Control,1.2282443611774805,0
